Price,Close,High,Low,Open,Volume
Ticker,ACA.PA,ACA.PA,ACA.PA,ACA.PA,ACA.PA
Date,,,,,
2001-12-10,-39.63125991821289,-41.372052490396484,-39.63125991821289,-41.25901278680561,48358107
2001-12-17,-40.58079528808594,-40.58079528808594,-39.56345003286687,-39.97038962414834,21562644
2001-12-24,-40.21906280517578,-40.58078541946633,-39.65386920373063,-40.49035414539641,2083509
2001-12-31,-39.99299621582031,-40.445150221250664,-39.85735051058916,-40.219073218535485,4476670
2002-01-07,-41.191200256347656,-42.027682854914055,-40.015600944209325,-40.0834237905258,11716089
2002-01-14,-42.050296783447266,-42.547662703970026,-40.4903637607691,-41.12338034759383,10014888
2002-01-21,-42.50244140625,-42.931989395032176,-41.14598452373563,-42.00507553732104,10516845
2002-01-28,-41.86943054199219,-42.72852156979522,-41.66596200624771,-42.502442109648676,5176326
2002-02-04,-40.942508697509766,-41.778996134725666,-39.74430112212829,-41.59813110166454,5400415
2002-02-11,-42.8415641784668,-43.361541014967166,-40.76165683246532,-40.76165683246532,6725039
2002-02-18,-41.82421875,-42.95460626041921,-40.71644464872593,-42.841566516581366,3091655
2002-02-25,-43.06763458251953,-43.09024550628448,-41.711177715777204,-41.82421247868648,2319908
2002-03-04,-42.61548614501953,-43.06764014701318,-41.779005957111806,-42.6833089971196,6430952
2002-03-11,-43.40675735473633,-43.40675735473633,-41.89204357900266,-42.50244928934851,6189017
2002-03-18,-46.79790496826172,-46.88833376966565,-42.502440103988484,-42.502440103988484,13954677
2002-03-25,-48.561309814453125,-48.65173862700947,-46.30053986075044,-46.32314582289468,7610593
2002-04-01,-49.28474807739258,-51.093363778723386,-47.47613237606176,-48.56130278965599,7669364
2002-04-08,-49.48822784423828,-50.52818161241081,-48.403057184064394,-49.103896672176276,5506378
2002-04-15,-52.72111892700195,-53.128060988416024,-49.37518340812853,-49.510829107273445,6685047
2002-04-22,-53.06023025512695,-54.258435407536865,-50.88988946332004,-52.44982469966922,4339762
2002-04-29,-50.867286682128906,-53.851501734281975,-50.867286682128906,-52.90197695805912,2849672
2002-05-06,-54.52973937988281,-54.80102581194624,-51.002936339389564,-51.002936339389564,2804121
2002-05-13,-52.15593338012695,-54.461915371563634,-51.99767674539348,-54.10019513956359,7263736
2002-05-20,-55.049713134765625,-55.56968998301149,-52.02028582305981,-52.06549774796505,7002163
2002-05-27,-55.38882064819336,-55.38882064819337,-53.12805590286467,-54.82363194385062,3525808
2002-06-03,-55.31943130493164,-55.96698461996506,-53.42303169687089,-54.972529556868494,3818880
2002-06-10,-52.31294250488281,-57.12333216666648,-51.110346358930265,-55.04191146346336,4821181
2002-06-17,-53.6543083190918,-55.27318161380579,-51.15660532548454,-52.38232665143839,4903822
2002-06-24,-52.035430908203125,-53.76994510254408,-49.26020616606782,-53.19177201177229,5435691
2002-07-01,-48.56639862060547,-53.42303899046342,-46.184331162070684,-52.035426730793425,5564383
2002-07-08,-48.56639862060547,-50.41654830016545,-47.410057609867486,-48.56639862060547,9137419
2002-07-15,-44.51919937133789,-49.58398103520636,-44.51919937133789,-48.58952579378213,6234092
2002-07-22,-43.36286163330078,-45.513658099731046,-37.46551263397896,-43.94103474669667,12224612
2002-07-29,-47.248172760009766,-49.028942308130354,-43.94103511689972,-43.94103511689972,7104699
2002-08-05,-51.64227294921875,-51.73478348585549,-46.369350090026906,-46.369350090026906,44091435
2002-08-12,-51.1103515625,-54.11684223347365,-49.884630200555584,-51.1103515625,8019823
2002-08-19,-52.844871520996094,-53.931832287318585,-50.30091798221283,-50.30091798221283,7062127
2002-08-26,-50.64781951904297,-54.278738880961214,-48.84392492507531,-52.84487121300064,6556987
2002-09-02,-45.675540924072266,-51.11035462948083,-43.36285877868394,-50.41655100145919,9435268
2002-09-09,-41.76710510253906,-48.91330571304705,-41.096426532764205,-45.791179060175494,11981953
2002-09-16,-39.639434814453125,-44.63483625684584,-39.3387857240958,-42.87719190538998,8759408
2002-09-23,-39.246273040771484,-41.05016990656414,-36.424795931697716,-39.91695150543105,9040336
2002-09-30,-35.823490142822266,-39.31564496789767,-34.9215431727813,-38.1824293486934,7685997
2002-10-07,-37.81240463256836,-39.08438108870915,-31.128743156737176,-36.07789082165152,10408491
2002-10-14,-42.18339157104492,-43.47849349331602,-36.44793077046259,-38.04368434563891,9462475
2002-10-21,-37.650516510009766,-42.090874124502385,-37.25735950240545,-41.53582878794414,7084039
2002-10-28,-37.419254302978516,-40.49512546811178,-36.44792670025154,-40.2407316548899,5469512
2002-11-04,-38.71436309814453,-43.59412930983885,-37.696780110580185,-37.71990774681656,6975477
2002-11-11,-41.373958587646484,-42.437791928789686,-37.766166127686404,-38.85313218649994,3652023
2002-11-18,-41.74397277832031,-42.09087453014575,-38.94562351697279,-41.39706848750818,6042789
2002-11-25,-37.88179016113281,-43.94102932153124,-37.23423929930436,-42.784683237507366,15579513
2002-12-02,-35.93913650512695,-39.66256109499323,-34.75966781828737,-37.92804443707239,12109459
2002-12-09,-35.03718566894531,-37.581144034219754,-33.6495759390483,-36.9567157203362,11135636
2002-12-16,-34.92155838012695,-35.61536462974974,-32.65512615475163,-34.45902088037842,19875794
2002-12-23,-33.788333892822266,-34.89842209368504,-33.11765544611433,-34.89842209368504,3209905
2002-12-30,-33.69582748413086,-34.57464957253439,-32.65511958845607,-33.76520784124338,6192229
2003-01-06,-35.12969207763672,-35.615357111547745,-32.51635854860376,-33.53393880205509,10537556
2003-01-13,-34.69028854370117,-36.30916708464192,-34.574652911355585,-35.31471181801348,8641908
2003-01-20,-34.204620361328125,-35.03718725248993,-33.81146581913025,-34.57465234761084,6953577
2003-01-27,-33.117652893066406,-34.227741008352226,-32.60886282426707,-33.76520365890315,8971609
2003-02-03,-32.95576858520508,-33.880843396898946,-32.49323117935814,-33.41830853003894,8194027
2003-02-10,-33.88084030151367,-34.22774205471214,-32.631991451012496,-32.840129963944875,8161985
2003-02-17,-33.372047424316406,-34.57464345341035,-32.72449669287601,-33.95021781092342,5557109
2003-02-24,-32.03070068359375,-33.302677453760694,-31.360022115287084,-32.978900717686,8142668
2003-03-03,-31.660659790039062,-33.51080660758296,-30.8743458057163,-32.377593427390586,11757679
2003-03-10,-33.071407318115234,-33.071407318115234,-29.02420590561427,-31.452526245317415,15075862
