Price,Close,High,Low,Open,Volume
Ticker,BN.PA,BN.PA,BN.PA,BN.PA,BN.PA
Date,,,,,
1989-01-16,1.8591281175613403,1.9388051921102947,1.8591281175613403,1.9175579407356669,3434555
1989-01-23,1.9033935070037842,1.9175583442341444,1.8343401223489864,1.8343401223489864,2571258
1989-01-30,1.850275993347168,1.9157881037566784,1.8467347045563514,1.8856879364077357,6282941
1989-02-06,1.8201755285263062,1.86798182120315,1.8024695583578625,1.8237168170447473,5813644
1989-02-13,1.7493517398834229,1.8113227174704738,1.7015456021661537,1.781222550853134,6443347
1989-02-20,1.687380313873291,1.832569161769052,1.687380313873291,1.7493511117335236,4465046
1989-02-27,1.7936162948608398,1.7936162948608398,1.6413448557532864,1.6661330830735337,2068537
1989-03-06,1.751122236251831,1.8237167588690975,1.7493515920490932,1.798928369929096,4577834
1989-03-13,1.8113219738006592,1.8201748769786126,1.745809734406057,1.7723689163635095,3838105
1989-03-20,1.8201755285263062,1.8325697233916756,1.7688282622801956,1.790075363492493,3106396
1989-03-27,1.8113219738006592,1.8520458323377431,1.807780844024384,1.8201748769786126,3988811
1989-04-03,1.8821463584899902,1.9476584533545878,1.8237165245773261,1.8254871685525904,5468792
1989-04-10,1.8892287015914917,1.8998522509558988,1.8608991841282168,1.8945406337482642,4469542
1989-04-17,1.8892287015914917,1.9210995071592816,1.8768345081748274,1.8892287015914917,4786398
1989-04-24,1.8467344045639038,1.9033935987415793,1.8378814989741703,1.8856876300875383,6463025
1989-05-01,1.850275993347168,1.852046637742576,1.8254876017098505,1.8467347045563514,2439315
1989-05-08,1.816634178161621,1.859128532930493,1.802469340747141,1.850275627652369,2808733
1989-05-15,1.8290282487869263,1.8502755034827707,1.8024692197857604,1.8166340562496566,1249706
1989-05-22,1.8732932806015015,1.899852152638091,1.8077811862785,1.8237165095004537,3452518
1989-05-29,1.92995285987854,1.9334939910404625,1.8697523703291206,1.8998525363665342,5192466
1989-06-05,1.9264110326766968,1.9299523203231765,1.9069345805192528,1.926411032676697,769684
1989-06-12,1.945548415184021,2.1209986682019473,1.9416495938778744,2.1209986682019473,2441143
1989-06-19,1.9747898578643799,1.9786888519120482,1.9377502813170042,1.9455480960312461,3060028
1989-06-26,1.9572452306747437,2.0703133128015123,1.945548592310298,2.0430210410303804,5775874
1989-07-03,2.0527679920196533,2.09175689854927,2.0371725334364803,2.0566669867012886,4911551
1989-07-10,2.105402946472168,2.105402946472168,2.0469195890860905,2.0566669020076613,2906075
1989-07-17,2.1541385650634766,2.1541385650634766,2.1015035407202984,2.1346442914056283,4336908
1989-07-24,2.236016035079956,2.4835959527993015,2.1736338547016345,2.183380994531507,6119366
1989-07-31,2.425112009048462,2.467999726046861,2.2126220539995245,2.467999726046861,5066434
1989-08-07,2.4095165729522705,2.4329098434727667,2.3705274997829564,2.4095165729522705,3362857
1989-08-14,2.390021800994873,2.4134150683630495,2.380274664051823,2.4095162482620434,1834139
1989-08-21,2.22236967086792,2.255510252363972,2.159987328424314,2.183380598477486,3104903
1989-08-28,2.2594094276428223,2.2594094276428223,2.183381108818165,2.200926065458979,4069853
1989-09-04,2.2925493717193604,2.302296681960322,2.265257111101949,2.2711054278940987,5047281
1989-09-11,2.21262264251709,2.2944996247380147,2.1872798702708063,2.27110617647759,4267280
1989-09-18,2.2204198837280273,2.2418638273950964,2.193127623311951,2.239914330685072,3505917
1989-09-25,2.138543128967285,2.226268408544404,2.1151498597849194,2.1931278282819977,4762560
1989-10-02,2.255510091781616,2.265257229149455,2.1093014708343465,2.111250967660345,4722739
1989-10-09,2.169734477996826,2.2828025284572924,2.124897261236321,2.2360156413405607,3995023
1989-10-16,2.066413640975952,2.169734375039074,2.0488686891755346,2.169734375039074,1544440
1989-10-23,1.945548415184021,2.0800602642723565,1.9416495938778744,2.0625153083230128,6147847
1989-10-30,2.0371720790863037,2.0800597973511916,1.965042600755428,2.0469192168542443,3001125
1989-11-06,2.2886509895324707,2.2944994812677266,2.004031673756808,2.0079306682469786,4491457
1989-11-13,2.304246187210083,2.3139934982205363,2.269156283687046,2.278903421316418,1863311
1989-11-20,2.138543128967285,2.370527364185213,2.109301542489328,2.3042462036604,4250178
1989-11-27,2.2165212631225586,2.2555103369756013,2.1248973296753726,2.1307456474080553,2740877
