Price,Close,High,Low,Open,Volume
Ticker,PUB.PA,PUB.PA,PUB.PA,PUB.PA,PUB.PA
Date,,,,,
2000-09-18,21.262304306030273,23.022198589328934,20.68276157121657,22.995614469578243,3650109
2000-09-25,18.3964900970459,21.746141798322903,17.81163137079278,21.639803294939178,4399302
2000-10-02,17.014095306396484,19.220611602740064,16.62064447413036,19.220611602740064,3562237
2000-10-09,16.508989334106445,17.487299918332518,15.47219348549192,17.01409570602677,3921822
2000-10-16,18.87501335144043,18.981351860476497,15.870962133542054,17.785048197357032,4180326
2000-10-23,20.470081329345703,20.624272039123092,18.635748960419072,18.92817828804784,3146038
2000-10-30,21.4271240234375,21.480294283628673,20.33715904249393,20.62958837471225,2257036
2000-11-06,19.087690353393555,22.27251541137306,18.66765435858689,21.639804426912217,3399620
2000-11-13,19.672542572021484,20.68275502890685,18.082787563641652,18.981345535949348,2408023
2000-11-20,19.353530883789062,20.09789620809611,18.343318337940662,19.911805384078814,1971557
2000-11-27,18.60916519165039,20.204236493791853,17.78504542452491,19.353532610611623,1961203
2000-12-04,19.821420669555664,20.54983809572601,17.705292778609603,18.662335247786668,2704835
2000-12-11,19.938390731811523,21.256982728820102,19.247193592089655,20.198919929798578,2816058
2000-12-18,18.50814437866211,20.193602048191284,18.343319617153888,19.938390888210748,1599819
2000-12-25,19.13553810119629,19.140854112691812,18.077473328653376,18.50814327635458,771069
2001-01-01,18.890960693359375,19.30036257574723,17.072580361228514,19.135539837339362,1293523
2001-01-08,19.459869384765625,19.672546373066986,18.15722942319354,18.57726333131971,1221022
2001-01-15,20.470081329345703,20.87948319932118,18.60916484485973,19.348214209894653,2205692
2001-01-22,19.087690353393555,20.762514263403446,18.6357521974315,20.762514263403446,1050917
2001-01-29,19.140857696533203,19.667232175612703,18.72082172141543,18.880328463238886,1543377
2001-02-05,19.406700134277344,19.619377111427628,18.635748627405036,18.720819012617554,1668809
2001-02-12,18.290151596069336,19.390750623475483,17.556418235052565,19.29504618385425,2029231
2001-02-19,18.60384750366211,18.742086111635327,17.763775719997756,18.290150094706643,1672956
2001-02-26,18.502822875976562,19.66722598401292,18.07747102227641,18.42838655510874,1726091
2001-03-05,19.752296447753906,20.044725721784776,18.343316270735677,18.52940707378142,1717911
2001-03-12,19.0079345703125,19.826738392426208,17.944553615329983,19.699131785403495,1321339
2001-03-19,17.226770401000977,19.619377288460115,16.66849485212245,19.06110072546259,1737515
2001-03-26,18.34332275390625,18.60916801120924,17.09385085587754,17.09385085587754,2445643
2001-04-02,17.216136932373047,18.39648832429888,16.695079532946565,18.343320091849613,1917198
2001-04-09,16.96623992919922,17.811627713757836,16.748246954727517,16.801416195502817,1590287
2001-04-16,19.087690353393555,19.14085859374751,16.211243726176853,16.966244300161662,3098660
2001-04-23,20.289310455322266,20.470085315864633,18.07747794128305,18.07747794128305,2593027
2001-04-30,19.513044357299805,20.470086979253555,19.24719907185495,20.41691873346001,1056681
2001-05-07,20.188289642333984,20.2839940979508,19.30036542149762,19.41201994363778,1096850
2001-05-14,19.544940948486328,20.20955404155322,18.715505106411296,20.20423802923349,1628717
2001-05-21,20.613636016845703,20.613636016845703,19.151487490226998,19.305678185265684,2247869
2001-05-28,19.672542572021484,20.592366616459913,19.279090828156473,20.42222586998793,3017749
2001-06-04,19.672542572021484,20.204232911805846,19.24719070584153,19.672542572021484,2529198
2001-06-11,16.344161987304688,19.64064170010184,15.052154215258172,19.364162462026265,3415914
2001-06-18,15.684866905212402,16.344162883940612,15.137225424456057,16.126169899607856,3415072
2001-06-25,15.206348419189453,15.897545659740233,14.621488669582332,15.631700411202372,4783197
2001-07-02,14.004727363586426,15.892228167229668,13.558107278004968,15.413706936712138,4326567
2001-07-09,13.931195259094238,14.42414528606472,13.197127982306412,13.957985610413322,1758149
2001-07-16,13.716872215270996,14.268761333512064,13.261428994887636,13.936556411811216,1438619
2001-07-23,14.842082023620605,15.43147794885849,13.234636361365078,13.502543971741,2244115
2001-07-30,16.0744571685791,16.449528244640533,14.09194037565976,14.472369726749093,2000107
2001-08-06,14.4027099609375,15.95657462490942,14.284831002575219,15.95657462490942,1440040
2001-08-13,14.467012405395508,15.222511860362797,13.995495413708543,14.681338310707766,1222364
2001-08-20,15.404687881469727,15.404687881469728,13.941912547045176,14.57417468274159,1132011
2001-08-27,13.984777450561523,15.42612067894691,13.668646388908474,14.60096474934772,1248656
2001-09-03,12.859566688537598,14.34377525578308,12.720254593440055,14.188388334409712,2148553
2001-09-10,9.16779899597168,13.395380872203411,9.10885899309832,12.484494564098997,4080403
2001-09-17,10.100116729736328,10.635931930019566,8.637341478239819,8.637341478239819,2597333
2001-09-24,9.912582397460938,10.796677379864205,9.457139218045159,9.725046850408967,2727767
2001-10-01,9.07671070098877,9.591092854959411,8.481955441222032,9.376766957471643,4615863
2001-10-08,11.198538780212402,11.34856742160557,8.840951829955028,9.00169599988688,6080760
2001-10-15,11.418220520019531,11.959393942246693,10.909196742508964,11.252118110262298,2796934
2001-10-22,14.097299575805664,14.118732677323793,11.503953567330832,11.64862393661861,3939984
2001-10-29,13.438247680664062,14.381282731130067,12.805985463261786,14.381282731130067,1508610
2001-11-05,14.199103355407715,14.78850030285966,13.395380523969541,13.545409153753114,2618484
2001-11-12,15.351110458374023,16.529904705147672,13.395384522488108,14.172317233587112,4593979
2001-11-19,15.02961254119873,15.538637274502765,15.018897016339587,15.431473850022076,2637668
2001-11-26,14.954605102539062,15.779761163992623,14.57417672598938,15.013545113210485,3098236
