Métrique,Catégorie,2025-12-31 00:00:00,2025-06-30 00:00:00,2024-12-31 00:00:00,2024-06-30 00:00:00
Ordinary Shares Number,Bilan,143358222.0,143248577.0,142629547.0,139364104.0
Share Issued,Bilan,143358222.0,143248577.0,142629547.0,139364104.0
Net Debt,Bilan,19436700000.0,20523400000.0,21291700000.0,21795100000.0
Total Debt,Bilan,22688400000.0,24723100000.0,27559900000.0,27437300000.0
Tangible Book Value,Bilan,16315600000.0,15408900000.0,16024500000.0,15395600000.0
Invested Capital,Bilan,39819500000.0,40812100000.0,44251300000.0,43475500000.0
Working Capital,Bilan,845000000.0,-384000000.0,1947400000.0,1215800000.0
Net Tangible Assets,Bilan,16315600000.0,15408900000.0,16024500000.0,15395600000.0
Capital Lease Obligations,Bilan,571200000.0,892600000.0,979300000.0,1022000000.0
Common Stock Equity,Bilan,17702300000.0,16981600000.0,17670700000.0,17060200000.0
Total Capitalization,Bilan,38723400000.0,37645300000.0,41089800000.0,40104200000.0
Total Equity Gross Minority Interest,Bilan,21696900000.0,20853900000.0,21037600000.0,20584500000.0
Minority Interest,Bilan,3994600000.0,3872300000.0,3366900000.0,3524300000.0
Stockholders Equity,Bilan,17702300000.0,16981600000.0,17670700000.0,17060200000.0
Other Equity Interest,Bilan,1805200000.0,1643500000.0,1821100000.0,1821100000.0
Retained Earnings,Bilan,1268200000.0,697700000.0,146200000.0,71700000.0
Additional Paid In Capital,Bilan,12900000000.0,12893500000.0,13384800000.0,13150000000.0
Capital Stock,Bilan,716800000.0,716200000.0,713100000.0,696800000.0
Common Stock,Bilan,716800000.0,716200000.0,713100000.0,696800000.0
Total Liabilities Net Minority Interest,Bilan,27987100000.0,30061500000.0,32508000000.0,32662600000.0
Total Non Current Liabilities Net Minority Interest,Bilan,24858000000.0,24609800000.0,27333300000.0,27306500000.0
Other Non Current Liabilities,Bilan,284000000.0,280300000.0,290800000.0,281500000.0
Derivative Product Liabilities,Bilan,798700000.0,804700000.0,761700000.0,1101300000.0
Tradeand Other Payables Non Current,Bilan,38800000.0,25400000.0,36200000.0,43200000.0
Non Current Deferred Taxes Liabilities,Bilan,2077200000.0,1952800000.0,1867200000.0,1820100000.0
Long Term Debt And Capital Lease Obligation,Bilan,21570600000.0,21482600000.0,24312500000.0,23998500000.0
Long Term Capital Lease Obligation,Bilan,549500000.0,818900000.0,893400000.0,954500000.0
Long Term Debt,Bilan,21021100000.0,20663700000.0,23419100000.0,23044000000.0
Long Term Provisions,Bilan,88700000.0,64000000.0,64900000.0,61900000.0
Current Liabilities,Bilan,3129100000.0,5451700000.0,5174700000.0,5356100000.0
Other Current Liabilities,Bilan,825400000.0,819900000.0,255600000.0,742700000.0
Current Debt And Capital Lease Obligation,Bilan,1117800000.0,3240500000.0,3247400000.0,3438800000.0
Current Capital Lease Obligation,Bilan,21700000.0,73700000.0,85900000.0,67500000.0
Current Debt,Bilan,1096100000.0,3166800000.0,3161500000.0,3371300000.0
Current Provisions,Bilan,39200000.0,45600000.0,63800000.0,49200000.0
Payables,Bilan,1146700000.0,1345700000.0,1607900000.0,1125400000.0
Other Payable,Bilan,849100000.0,1021000000.0,955800000.0,895700000.0
Total Tax Payable,Bilan,,,412000000.0,
Accounts Payable,Bilan,297600000.0,324700000.0,240100000.0,229700000.0
Total Assets,Bilan,49684000000.0,50915400000.0,53545600000.0,53247100000.0
Total Non Current Assets,Bilan,45709900000.0,45847700000.0,46423500000.0,46675200000.0
Other Non Current Assets,Bilan,,,-100000.0,100000.0
Non Current Deferred Taxes Assets,Bilan,14200000.0,17300000.0,12100000.0,25300000.0
Financial Assets,Bilan,195300000.0,141100000.0,250600000.0,503900000.0
Investmentin Financial Assets,Bilan,263000000.0,280100000.0,269100000.0,246100000.0
Available For Sale Securities,Bilan,,,122000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,Bilan,,,147100000.0,
Long Term Equity Investment,Bilan,6863000000.0,6747800000.0,6303500000.0,6833500000.0
Investments In Other Ventures Under Equity Method,Bilan,,,6303500000.0,
Investment Properties,Bilan,36887500000.0,36990700000.0,37111600000.0,37296700000.0
Goodwill And Other Intangible Assets,Bilan,1386700000.0,1572700000.0,1646200000.0,1664600000.0
Other Intangible Assets,Bilan,760500000.0,766700000.0,840200000.0,853500000.0
Goodwill,Bilan,626200000.0,806000000.0,806000000.0,811100000.0
Net PPE,Bilan,100200000.0,98000000.0,114500000.0,105000000.0
Gross PPE,Bilan,100200000.0,98000000.0,114500000.0,105000000.0
Other Properties,Bilan,100200000.0,98000000.0,32400000.0,105000000.0
Machinery Furniture Equipment,Bilan,,,82100000.0,
Current Assets,Bilan,3974100000.0,5067700000.0,7122100000.0,6571900000.0
Assets Held For Sale Current,Bilan,91900000.0,311100000.0,727200000.0,595800000.0
Inventory,Bilan,21200000.0,24600000.0,17600000.0,32700000.0
Other Receivables,Bilan,301400000.0,448400000.0,374700000.0,524700000.0
Taxes Receivable,Bilan,220400000.0,223400000.0,225800000.0,176700000.0
Accounts Receivable,Bilan,658700000.0,753100000.0,487900000.0,621800000.0
Cash Cash Equivalents And Short Term Investments,Bilan,2680500000.0,3307100000.0,5288900000.0,4620200000.0
Cash And Cash Equivalents,Bilan,2680500000.0,3307100000.0,5288900000.0,4620200000.0
Cash Equivalents,Bilan,,,2757100000.0,
Cash Financial,Bilan,,,2531900000.0,
